,city,st_date,week,year,cases,lat,lon,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
21,Tamil Nadu,14-10-2011 00:00,41,2011,16,10.813125,78.6774631,33.77428545,24.57000024,5.1,50.81949234,75.29845483,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,5.1,12.375,0,2.9,3.58,8.233333333,7.425,2,3.2,0,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918
22,Tamil Nadu,12-11-2011 00:00,45,2011,6,10.07354,78.773198,30.54857172,21.60857173,21.025,67.14644623,78.59415872,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,21.025,5.1,12.375,0,2.9,3.58,8.233333333,7.425,2,3.2,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914
23,Tamil Nadu,14-11-2011 00:00,46,2011,20,9.2641788,78.836682,32.88442,23.01668,11.5,27.33907776,67.1108,23.01668,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,11.5,21.025,5.1,12.375,0,2.9,3.58,8.233333333,7.425,2,32.88442,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,67.1108,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341
24,Tamil Nadu,18-11-2011 00:00,47,2011,24,11.2105076,78.928117,29.97857148,21.46857153,1.25,56.4601078,69.29160581,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,1.25,11.5,21.025,5.1,12.375,0,2.9,3.58,8.233333333,7.425,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,69.29160581,67.1108,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897
25,Tamil Nadu,26-11-2011 00:00,48,2011,13,11.0168445,76.9558321,26.31571443,19.75857135,3.875,87.62578125,90.50549752,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,3.875,1.25,11.5,21.025,5.1,12.375,0,2.9,3.58,8.233333333,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,90.50549752,69.29160581,67.1108,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668
26,Tamil Nadu,15-12-2011 00:00,51,2011,7,11.1450212,79.258682,28.91428566,21.60714286,0,41.91821798,66.69264603,21.60714286,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,21.21857153,0,3.875,1.25,11.5,21.025,5.1,12.375,0,2.9,3.58,28.91428566,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,31.24714279,41.91821798,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,23.50026703,66.69264603,90.50549752,69.29160581,67.1108,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678,74.90234266
27,Tamil Nadu,18-12-2011 00:00,51,2011,14,11.3237571,77.299936,27.00428554,15.89714282,0,28.70064259,65.62233407,15.89714282,21.60714286,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,23.01668,24.52428545,0,0,3.875,1.25,11.5,21.025,5.1,12.375,0,2.9,27.00428554,28.91428566,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,32.88442,35.81999969,28.70064259,41.91821798,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,38.67108269,65.62233407,66.69264603,90.50549752,69.29160581,67.1108,78.59415872,75.29845483,82.83974893,73.68900081,65.86936678
28,Tamil Nadu,11-01-2012 00:00,2,2012,69,10.4871156,78.1594849,28.60714286,18.45714269,0,30.62932555,71.4676045,18.45714269,15.89714282,21.60714286,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,23.01668,0,0,0,3.875,1.25,11.5,21.025,5.1,12.375,0,28.60714286,27.00428554,28.91428566,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,32.88442,30.62932555,28.70064259,41.91821798,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,31.05540323,71.4676045,65.62233407,66.69264603,90.50549752,69.29160581,67.1108,78.59415872,75.29845483,82.83974893,73.68900081
29,Tamil Nadu,10-01-2012 00:00,2,2012,30,9.2837071,78.8262772,32.88442,23.01668,0,26.51457087,67.1108,23.01668,18.45714269,15.89714282,21.60714286,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,24.26142856,0,0,0,0,3.875,1.25,11.5,21.025,5.1,12.375,32.88442,28.60714286,27.00428554,28.91428566,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,33.52285739,26.51457087,30.62932555,28.70064259,41.91821798,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,54.38815003,67.1108,71.4676045,65.62233407,66.69264603,90.50549752,69.29160581,67.1108,78.59415872,75.29845483,82.83974893
30,Tamil Nadu,10-01-2012 00:00,2,2012,9,11.3910602,77.7719452,28.94142887,17.01857076,0,26.0928997,63.8275359,17.01857076,23.01668,18.45714269,15.89714282,21.60714286,19.75857135,21.46857153,23.01668,21.60857173,24.57000024,0,0,0,0,0,3.875,1.25,11.5,21.025,5.1,28.94142887,32.88442,28.60714286,27.00428554,28.91428566,26.31571443,29.97857148,32.88442,30.54857172,33.77428545,26.0928997,26.51457087,30.62932555,28.70064259,41.91821798,87.62578125,56.4601078,27.33907776,67.14644623,50.81949234,63.8275359,67.1108,71.4676045,65.62233407,66.69264603,90.50549752,69.29160581,67.1108,78.59415872,75.29845483
