,state,Var.2,st_date,year,week,maxt,mint,rain,soil,rh,cases,lat,lon,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
21,Karnataka,NA,12-06-2012 00:00,2012,24,32.86571394,22.75714275,0.3,28.22628441,63.55805315,15,16.9308982,75.3834811,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,0.3,0,2.1,0,10.85,0,13.36,0,9.025,46.01428571,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457,69.45563
22,Karnataka,NA,06-07-2012 00:00,2012,28,29.86571421,22.57285718,2.85,35.64179993,82.0635692,13,16.4041668,74.3786387,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,2.85,0.3,0,2.1,0,10.85,0,13.36,0,9.025,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457
23,Karnataka,NA,11-07-2012 00:00,2012,29,27.12000002,19.7485714,7.566666667,30.479879,75.68618774,30,13.5535903,77.0901309,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,7.566666667,2.85,0.3,0,2.1,0,10.85,0,13.36,0,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812
24,Karnataka,NA,22-11-2012 00:00,2012,47,30.51857131,18.25428554,2.3,46.7202179,68.73811122,53,13.1681707,78.3934573,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,2.3,7.566666667,2.85,0.3,0,2.1,0,10.85,0,13.36,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295
25,Karnataka,NA,01-10-2012 00:00,2012,47,31.74285725,15.86428547,0,21.90526581,56.83669662,83,17.3863984,76.9189301,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,0,2.3,7.566666667,2.85,0.3,0,2.1,0,10.85,0,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963
26,Karnataka,NA,22-11-2012 00:00,2012,48,29.11857142,16.9585713,0,40.45076485,60.93222209,91,12.8799868,77.7529049,16.9585713,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,21.4042857,0,0,2.3,7.566666667,2.85,0.3,0,2.1,0,10.85,29.11857142,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,31.95285715,40.45076485,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,53.29810638,60.93222209,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076,60.56369237
27,Karnataka,NA,09-04-2013 00:00,2013,16,33.96000017,21.08285713,0,4.755018198,55.31886401,25,16.0313435,74.5331455,21.08285713,16.9585713,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,23.26571437,0,0,0,2.3,7.566666667,2.85,0.3,0,2.1,0,33.96000017,29.11857142,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,34.78142875,4.755018198,40.45076485,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,29.30358124,55.31886401,60.93222209,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453,52.15661076
28,karnataka,NA,13-05-2013 00:00,2013,20,31.76000023,19.61857142,3,40.76700363,59.9889074,46,12.2044598,76.5538806,19.61857142,21.08285713,16.9585713,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,21.81857191,3,0,0,0,2.3,7.566666667,2.85,0.3,0,2.1,31.76000023,33.96000017,29.11857142,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,31.8771425,40.76700363,4.755018198,40.45076485,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,16.41929684,59.9889074,55.31886401,60.93222209,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166,63.74942453
29,karnataka,NA,12-05-2013 00:00,2013,20,36.15142877,23.09142876,0,32.48231735,59.06442806,16,12.987322,77.959588,23.09142876,19.61857142,21.08285713,16.9585713,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,20.22142846,0,3,0,0,0,2.3,7.566666667,2.85,0.3,0,36.15142877,31.76000023,33.96000017,29.11857142,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,30.23428563,32.48231735,40.76700363,4.755018198,40.45076485,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,20.16404228,59.06442806,59.9889074,55.31886401,60.93222209,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315,61.75634166
30,karnataka,NA,11-05-2013 00:00,2013,20,35.14714268,22.87142835,8.3,25.49759636,54.25155531,21,13.2875743,78.2352888,22.87142835,23.09142876,19.61857142,21.08285713,16.9585713,15.86428547,18.25428554,19.7485714,22.57285718,22.75714275,8.3,0,3,0,0,0,2.3,7.566666667,2.85,0.3,35.14714268,36.15142877,31.76000023,33.96000017,29.11857142,31.74285725,30.51857131,27.12000002,29.86571421,32.86571394,25.49759636,32.48231735,40.76700363,4.755018198,40.45076485,21.90526581,46.7202179,30.479879,35.64179993,28.22628441,54.25155531,59.06442806,59.9889074,55.31886401,60.93222209,56.83669662,68.73811122,75.68618774,82.0635692,63.55805315
