id,SL,st_date,end_date,rh,rain,maxt,mint,soil,cases,death,week,year,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9,lat,lon
261,261,09-07-2010 00:00,,72.42672402,5.7,30.03571456,20.08428546,39.34858799,212,0,28,2010,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,5.7,47.77142857,17.7,26.21666667,1.983333333,11.575,13.4,4.966666667,11.575,0,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,13.8036055,76.6510177
273,273,24-07-2010 00:00,26-07-2010 00:00,54.94101824,0.1,32.50714302,22.65571458,32.31162644,9,0,30,2010,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,0.1,5.7,47.77142857,17.7,26.21666667,1.983333333,11.575,13.4,4.966666667,11.575,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,12.2163546,79.0598685
285,285,21-07-2010 00:00,,85.49292537,14.57142857,30.87000029,24.58999988,68.36797333,85,0,31,2010,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,14.57142857,0.1,5.7,47.77142857,17.7,26.21666667,1.983333333,11.575,13.4,4.966666667,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,19.230014,84.2672409
297,297,25-07-2010 00:00,30-07-2010 00:00,51.27574594,0,32.12571444,22.38857106,4.324714666,9,0,32,2010,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,0,14.57142857,0.1,5.7,47.77142857,17.7,26.21666667,1.983333333,11.575,13.4,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,10.4079812,78.0395149
298,298,27-07-2010 00:00,28-07-2010 00:00,59.68794904,5.75,30.59000015,21.12285723,28.09428063,21,0,32,2010,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,5.75,0,14.57142857,0.1,5.7,47.77142857,17.7,26.21666667,1.983333333,11.575,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,11.1748295,77.4354367
299,299,28-07-2010 00:00,02-08-2010 00:00,65.86577715,4.766666667,33.65142877,23.15571431,25.40753937,20,0,32,2010,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,21.88714273,4.766666667,5.75,0,14.57142857,0.1,5.7,47.77142857,17.7,26.21666667,1.983333333,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,31.52642717,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,48.52060318,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,79.49342237,12.4917999,79.1096901
311,311,01-08-2010 00:00,03-08-2010 00:00,77.66800581,5,26.42571395,20.6528571,69.58693949,17,0,33,2010,20.6528571,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,23.18428585,5,4.766666667,5.75,0,14.57142857,0.1,5.7,47.77142857,17.7,26.21666667,26.42571395,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,31.00714357,69.58693949,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,66.16334534,77.66800581,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,79.07433755,13.004195,76.139243
312,312,02-08-2010 00:00,05-08-2010 00:00,87.11294338,13.6,31.1771431,21.83428574,84.56796074,31,0,33,2010,21.83428574,20.6528571,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,23.16142845,13.6,5,4.766666667,5.75,0,14.57142857,0.1,5.7,47.77142857,17.7,31.1771431,26.42571395,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,29.42142868,84.56796074,69.58693949,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,79.09899267,87.11294338,77.66800581,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,78.72437722,17.3608114,76.9923875
313,313,10-08-2010 00:00,10-08-2010 00:00,91.68065425,6.825,34.80999974,25.99999973,31.14064941,22,0,33,2010,25.99999973,21.83428574,20.6528571,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,22.57857159,6.825,13.6,5,4.766666667,5.75,0,14.57142857,0.1,5.7,47.77142857,34.80999974,31.1771431,26.42571395,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,28.78428541,31.14064941,84.56796074,69.58693949,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,86.63234456,91.68065425,87.11294338,77.66800581,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,85.97679574,10.5488795,79.639015
327,327,13-08-2010 00:00,18-08-2010 00:00,79.86790793,1.783333333,31.82999965,24.44857134,63.67473412,35,0,34,2010,24.44857134,25.99999973,21.83428574,20.6528571,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,20.08428546,1.783333333,6.825,13.6,5,4.766666667,5.75,0,14.57142857,0.1,5.7,31.82999965,34.80999974,31.1771431,26.42571395,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,30.03571456,63.67473412,31.14064941,84.56796074,69.58693949,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,39.34858799,79.86790793,91.68065425,87.11294338,77.66800581,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,72.42672402,22.3455197,73.9389213
328,328,10-08-2010 00:00,,91.39729963,12.13333333,31.69857134,25.23000009,68.67943725,158,0,34,2010,25.23000009,24.44857134,25.99999973,21.83428574,20.6528571,23.15571431,21.12285723,22.38857106,24.58999988,22.65571458,12.13333333,1.783333333,6.825,13.6,5,4.766666667,5.75,0,14.57142857,0.1,31.69857134,31.82999965,34.80999974,31.1771431,26.42571395,33.65142877,30.59000015,32.12571444,30.87000029,32.50714302,68.67943725,63.67473412,31.14064941,84.56796074,69.58693949,25.40753937,28.09428063,4.324714666,68.36797333,32.31162644,91.39729963,79.86790793,91.68065425,87.11294338,77.66800581,65.86577715,59.68794904,51.27574594,85.49292537,54.94101824,11.9768427,79.5392686
